"x","y","H5_cont","H5_disc","simple"
626.5,291.5,1,1,2
790.5,462.5,3.625,1,4.625
537.5,59.5,1,1,2
710.5,91.5,1,1,2
673.5,430.5,1,1,2
65.5,377.5,1,1,2
637.5,124.5,3.0625,1,4.0625
82.5,971.5,2.125,1,3.125
66.5,1020.5,1,1,2
404.5,984.5,1,1,2
634.5,107.5,1,1,2
435.5,838.5,1,1,2
457.5,796.5,1,1,2
453.5,604.5,1,1,2
281.5,992.5,1.5625,1,2.5625
759.5,293.5,1,1,2
73.5,869.5,1,1,2
496.5,741.5,1,1,2
448.5,777.5,1,1,2
369.5,769.5,1,1,2
384.5,995.5,1,1,2
556.5,138.5,1,1,2
589.5,996.5,1,1,2
610.5,1006.5,1,1,2
576.5,296.5,1,1,2
448.5,817.5,1,1,2
496.5,212.5,1,1,2
889.5,313.5,1,1,2
710.5,236.5,1,1,2
146.5,989.5,1,1,2
379.5,218.5,1,1,2
217.5,819.5,1,1,2
608.5,741.5,1,1,2
949.5,566.5,1,1,2
685.5,45.5,1,1,2
808.5,538.5,1,1,2
417.5,742.5,1,1,2
1009.5,535.5,1,1,2
244.5,949.5,1,1,2
153.5,480.5,1,1,2
715.5,788.5,1,1,2
899.5,398.5,1,1,2
588.5,985.5,1,1,2
410.5,913.5,1,1,2
506.5,389.5,1,1,2
345.5,40.5,1,1,2
360.5,988.5,1,1,2
536.5,857.5,1,1,2
1008.5,370.5,1,1,2
364.5,753.5,1,1,2
426.5,46.5,1,1,2
541.5,252.5,1,1,2
428.5,118.5,1,1,2
235.5,1022.5,1,1,2
495.5,258.5,1,1,2
85.5,372.5,1.5625,1,2.5625
416.5,261.5,1,1,2
515.5,128.5,1,1,2
605.5,316.5,1,1,2
994.5,72.5,1,1,2
711.5,568.5,1.75,1,2.75
965.5,266.5,1,1,2
655.5,74.5,1,1,2
572.5,88.5,1,1,2
267.5,996.5,1,1,2
550.5,201.5,1,1,2
282.5,194.5,1,1,2
452.5,125.5,1,1,2
540.5,61.5,1,1,2
433.5,80.5,1,1,2
559.5,79.5,1,1,2
323.5,388.5,1,1,2
159.5,95.5,1,1,2
587.5,444.5,1,1,2
643.5,492.5,1,1,2
725.5,560.5,3.8125,1,4.8125
423.5,949.5,1,1,2
172.5,830.5,3.8125,1,4.8125
363.5,464.5,1,1,2
448.5,26.5,1,1,2
254.5,154.5,1,1,2
850.5,142.5,1.1875,1,2.1875
958.5,414.5,2.6875,1,3.6875
138.5,803.5,1,1,2
663.5,72.5,1,1,2
