"x","y","H5_cont","H5_disc","simple"
417.5,927.5,3.625,1,4.625
506.5,741.5,1,1,2
276.5,592.5,2.125,1,3.125
701.5,552.5,1,1,2
805.5,133.5,1,1,2
153.5,19.5,1,1,2
559.5,877.5,1,1,2
800.5,146.5,1,1,2
811.5,841.5,1,1,2
316.5,31.5,1,1,2
273.5,986.5,1,1,2
245.5,809.5,1,1,2
801.5,761.5,2.5,1,3.5
656.5,715.5,1,1,2
306.5,148.5,1.1875,1,2.1875
528.5,444.5,1,1,2
449.5,745.5,1,1,2
400.5,59.5,1,1,2
76.5,417.5,3.4375,1,4.4375
273.5,750.5,2.5,1,3.5
899.5,454.5,1,1,2
136.5,705.5,1,1,2
234.5,1020.5,1,1,2
641.5,482.5,1,1,2
175.5,997.5,1.5625,1,2.5625
624.5,298.5,1,1,2
507.5,333.5,1,1,2
907.5,390.5,1,1,2
733.5,346.5,1,1,2
218.5,826.5,1,1,2
516.5,703.5,1,1,2
941.5,401.5,1.1875,1,2.1875
821.5,523.5,2.875,1,3.875
117.5,485.5,1,1,2
501.5,106.5,1,1,2
795.5,515.5,1.9375,1,2.9375
79.5,1009.5,1,1,2
942.5,591.5,1,1,2
38.5,30.5,3.4375,1,4.4375
729.5,122.5,1,1,2
556.5,127.5,1,1,2
608.5,72.5,1.75,1,2.75
197.5,715.5,3.0625,1,4.0625
741.5,403.5,1,1,2
625.5,829.5,3.625,1,4.625
420.5,594.5,1,1,2
47.5,543.5,2.5,1,3.5
848.5,124.5,1,1,2
550.5,88.5,1,1,2
881.5,461.5,1,1,2
94.5,974.5,1,1,2
872.5,366.5,1,1,2
147.5,821.5,1,1,2
884.5,366.5,1,1,2
618.5,53.5,1,1,2
554.5,977.5,1,1,2
498.5,304.5,1,1,2
441.5,605.5,1,1,2
68.5,915.5,1,1,2
957.5,423.5,1,1,2
880.5,461.5,1,1,2
818.5,97.5,1,1,2
324.5,129.5,1.75,1,2.75
415.5,63.5,1,1,2
630.5,78.5,1,1,2
427.5,740.5,1,1,2
16.5,397.5,1,1,2
511.5,268.5,1,1,2
640.5,84.5,3.0625,1,4.0625
878.5,364.5,1,1,2
39.5,544.5,1,1,2
686.5,856.5,1,1,2
118.5,506.5,1,1,2
156.5,37.5,1.375,1,2.375
775.5,128.5,1,1,2
388.5,854.5,1,1,2
463.5,343.5,1,1,2
109.5,48.5,1.75,1,2.75
350.5,113.5,1.1875,1,2.1875
699.5,126.5,1,1,2
762.5,297.5,3.625,1,4.625
324.5,383.5,1,1,2
650.5,557.5,1.375,1,2.375
107.5,904.5,1,1,2
582.5,727.5,3.0625,1,4.0625
612.5,202.5,1,1,2
576.5,405.5,1.9375,1,2.9375
504.5,393.5,1,1,2
57.5,242.5,3.625,1,4.625
642.5,49.5,1,1,2
644.5,592.5,1,1,2
794.5,536.5,1,1,2
